name,diet,lived_in,type,length,taxonomy,named_by,species,link,period name,period start (million years ago),period end (million years ago),Kingdom,Phylum,Class,Order,Suborder,Infraorder,Family
aardonyx,herbivorous,South Africa,sauropod,8.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html,Early Jurassic,199,189,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda,Anchisauria,,
abelisaurus,carnivorous,Argentina,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,Late Cretaceous,74,70,Dinosauria,Saurischia,Theropoda,Neotheropoda,Ceratosauria,Neoceratosauria,Abelisauridae
achelousaurus,herbivorous,USA,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,Late Cretaceous,83,70,Dinosauria,Ornithischia,Genasauria,Cerapoda,Marginocephalia,Ceratopsia,Neoceratopsia
achillobator,carnivorous,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,Late Cretaceous,99,84,Dinosauria,Saurischia,Theropoda,Neotheropoda,Tetanurae,Avetheropoda,Coelurosauria
acrocanthosaurus,carnivorous,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,Early Cretaceous,115,105,Dinosauria,Saurischia,Theropoda,Neotheropoda,Tetanurae,Avetheropoda,Carnosauria
aegyptosaurus,herbivorous,Egypt,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,Late Cretaceous,98,93,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda,Eusauropoda,Neosauropoda,Macronaria
afrovenator,carnivorous,Niger,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Sereno Wilson Larsson Dutheil and Sues (1944),abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,Early Cretaceous,132,121,Dinosauria,Saurischia,Theropoda,Neotheropoda,Tetanurae,Spinosauroidea,Megalosauridae
agilisaurus,herbivorous,China,euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,Late Jurassic,169,159,Dinosauria,Ornithischia,Genasauria,Cerapoda,Ornithopoda,Euornithopoda,
alamosaurus,herbivorous,USA,sauropod,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Gilmore (1922),sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,Late Cretaceous,70,65,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda,Eusauropoda,Neosauropoda,Macronaria
albertaceratops,herbivorous,USA,ceratopsian,7.0m,Dinosauria Ornithischia,Ryan 2007,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,Late Cretaceous,80,75,Dinosauria,Ornithischia,,,,,
albertosaurus,carnivorous,Canada,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,Late Cretaceous,76,74,Dinosauria,Saurischia,Theropoda,Neotheropoda,Tetanurae,Avetheropoda,Coelurosauria
alectrosaurus,carnivorous,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,Late Cretaceous,90,70,Dinosauria,Saurischia,Theropoda,Neotheropoda,Tetanurae,Avetheropoda,Coelurosauria
