survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone,difference from mean,fare_zscore,fare zscore,difference from mean (age),age zscore,child,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Unknown,embark_Queenstown,embark_Southampton,embark_Unknown,family size
0,3,1,22.0,1,0,7.25,1,0,-24.95420796857464,-0.5021631365156053,-0.5021631365156053,-7.69911764705882,-0.5300050983330725,0,0,0,0,0,0,0,1,0,1,0,1
1,1,0,38.0,1,0,71.2833,0,0,39.07909203142536,0.7864036178345383,0.7864036178345383,8.30088235294118,0.5714304118216114,0,0,1,0,0,0,0,0,0,0,0,1
1,3,0,26.0,0,0,7.925,0,1,-24.279207968574635,-0.488579851581261,-0.488579851581261,-3.69911764705882,-0.2546462207944016,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,35.0,1,0,53.1,0,0,20.89579203142537,0.4204940697654092,0.4204940697654092,5.30088235294118,0.364911253667608,0,0,1,0,0,0,0,0,0,1,0,1
0,3,1,35.0,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,5.30088235294118,0.364911253667608,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,,0,0,8.4583,1,1,-23.745907968574635,-0.4778480503138746,-0.4778480503138746,,,0,0,0,0,0,0,0,1,1,0,0,0
0,1,1,54.0,0,0,51.8625,1,1,19.65829203142536,0.3955913807191113,0.3955913807191113,24.30088235294118,1.6728659219762951,0,0,0,0,1,0,0,0,0,1,0,0
0,3,1,2.0,3,1,21.075,0,0,-11.129207968574637,-0.2239573376751467,-0.2239573376751467,-27.69911764705882,-1.9067994860264277,1,0,0,0,0,0,0,1,0,1,0,4
1,3,0,27.0,0,2,11.1333,0,0,-21.07090796857464,-0.4240179952036955,-0.4240179952036955,-2.69911764705882,-0.1858065014097338,0,0,0,0,0,0,0,1,0,1,0,2
1,2,0,14.0,1,0,30.0708,0,0,-2.133407968574637,-0.042931390101259,-0.042931390101259,-15.69911764705882,-1.0807228534104143,1,0,0,0,0,0,0,1,0,0,0,1
1,3,0,4.0,1,1,16.7,0,0,-15.504207968574637,-0.3119971474347855,-0.3119971474347855,-25.69911764705882,-1.7691200472570918,1,0,0,0,0,0,1,0,0,1,0,2
1,1,0,58.0,0,0,26.55,0,1,-5.654207968574635,-0.1137818043187987,-0.1137818043187987,28.30088235294118,1.9482247995149664,0,0,1,0,0,0,0,0,0,1,0,0
0,3,1,20.0,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,-9.69911764705882,-0.667684537102408,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,39.0,1,5,31.275,1,0,-0.9292079685746372,-0.0186988097783889,-0.0186988097783889,9.30088235294118,0.6402701312062791,0,0,0,0,0,0,0,1,0,1,0,6
0,3,0,14.0,0,0,7.8542,0,1,-24.35000796857464,-0.4900045872454856,-0.4900045872454856,-15.69911764705882,-1.0807228534104143,1,0,0,0,0,0,0,1,0,1,0,0
1,2,0,55.0,0,0,16.0,0,1,-16.204207968574636,-0.3260835169963277,-0.3260835169963277,25.30088235294118,1.7417056413609628,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,2.0,4,1,29.125,0,0,-3.079207968574636,-0.0619640877174113,-0.0619640877174113,-27.69911764705882,-1.9067994860264277,1,0,0,0,0,0,0,1,1,0,0,5
1,2,1,,0,0,13.0,1,1,-19.20420796857464,-0.38645367226008,-0.38645367226008,,,0,0,0,0,0,0,0,1,0,1,0,0
0,3,0,31.0,1,0,18.0,0,0,-14.204207968574636,-0.2858367468204928,-0.2858367468204928,1.30088235294118,0.0895523761289371,0,0,0,0,0,0,0,1,0,1,0,1
1,3,0,,0,0,7.225,0,1,-24.979207968574634,-0.5026662211428032,-0.5026662211428032,,,0,0,0,0,0,0,0,1,0,0,0,0
0,2,1,35.0,0,0,26.0,1,1,-6.204207968574636,-0.1248496661171533,-0.1248496661171533,5.30088235294118,0.364911253667608,0,0,0,0,0,0,0,1,0,1,0,0
1,2,1,34.0,0,0,13.0,1,1,-19.20420796857464,-0.38645367226008,-0.38645367226008,4.30088235294118,0.2960715342829403,0,0,0,1,0,0,0,0,0,1,0,0
1,3,0,15.0,0,0,8.0292,0,1,-24.17500796857464,-0.4864829948551,-0.4864829948551,-14.69911764705882,-1.0118831340257468,1,0,0,0,0,0,0,1,1,0,0,0
1,1,1,28.0,0,0,35.5,1,1,3.295792031425364,0.0663224922180622,0.0663224922180622,-1.69911764705882,-0.1169667820250661,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,8.0,3,1,21.075,0,0,-11.129207968574637,-0.2239573376751467,-0.2239573376751467,-21.69911764705882,-1.493761169718421,1,0,0,0,0,0,0,1,0,1,0,4
1,3,0,38.0,1,5,31.3875,0,0,-0.8167079685746366,-0.0164349289559981,-0.0164349289559981,8.30088235294118,0.5714304118216114,0,0,0,0,0,0,0,1,0,1,0,6
0,3,1,,0,0,7.225,1,1,-24.979207968574634,-0.5026662211428032,-0.5026662211428032,,,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,19.0,3,2,263.0,1,0,230.79579203142535,4.644392599719279,4.644392599719279,-10.69911764705882,-0.7365242564870758,0,0,1,0,0,0,0,0,0,1,0,5
1,3,0,,0,0,7.8792,0,1,-24.325007968574635,-0.4895015026182876,-0.4895015026182876,,,0,0,0,0,0,0,0,1,1,0,0,0
0,3,1,,0,0,7.8958,1,1,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,,,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,40.0,0,0,27.7208,1,1,-4.483407968574635,-0.090221345057865,-0.090221345057865,10.30088235294118,0.7091098505909468,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,,1,0,146.5208,0,0,114.31659203142536,2.300436803386727,2.300436803386727,,,0,1,0,0,0,0,0,0,0,0,0,1
1,3,0,,0,0,7.75,0,1,-24.45420796857464,-0.4921014439716465,-0.4921014439716465,,,0,0,0,0,0,0,0,1,1,0,0,0
0,2,1,66.0,0,0,10.5,1,1,-21.70420796857464,-0.4367621349798736,-0.4367621349798736,36.30088235294118,2.498942554592308,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,28.0,1,0,82.1708,1,0,49.96659203142536,1.0054969729792391,1.0054969729792391,-1.69911764705882,-0.1169667820250661,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,42.0,1,0,52.0,1,0,19.795792031425364,0.3983583461687,0.3983583461687,12.30088235294118,0.8467892893602823,0,0,0,0,0,0,0,1,0,1,0,1
1,3,1,,0,0,7.2292,1,1,-24.97500796857464,-0.502581702925434,-0.502581702925434,,,0,0,0,0,0,0,0,1,0,0,0,0
0,3,1,21.0,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,-8.69911764705882,-0.5988448177177403,0,0,0,0,0,0,0,1,0,1,0,0
0,3,0,18.0,2,0,18.0,0,0,-14.204207968574636,-0.2858367468204928,-0.2858367468204928,-11.69911764705882,-0.8053639758717436,1,0,0,0,0,0,0,1,0,1,0,2
1,3,0,14.0,1,0,11.2417,0,0,-20.962507968574634,-0.4218366202601652,-0.4218366202601652,-15.69911764705882,-1.0807228534104143,1,0,0,0,0,0,0,1,0,0,0,1
0,3,0,40.0,1,0,9.475,0,0,-22.729207968574634,-0.457388604694989,-0.457388604694989,10.30088235294118,0.7091098505909468,0,0,0,0,0,0,0,1,0,1,0,1
0,2,0,27.0,1,0,21.0,0,0,-11.204207968574636,-0.2254665915567405,-0.2254665915567405,-2.69911764705882,-0.1858065014097338,0,0,0,0,0,0,0,1,0,1,0,1
0,3,1,,0,0,7.8958,1,1,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,,,0,0,0,0,0,0,0,1,0,0,0,0
1,2,0,3.0,1,2,41.5792,0,0,9.374992031425364,0.1886565748445299,0.1886565748445299,-26.69911764705882,-1.83795976664176,1,0,0,0,0,0,0,1,0,0,0,3
1,3,0,19.0,0,0,7.8792,0,1,-24.325007968574635,-0.4895015026182876,-0.4895015026182876,-10.69911764705882,-0.7365242564870758,0,0,0,0,0,0,0,1,1,0,0,0
0,3,1,,0,0,8.05,1,1,-24.154207968574635,-0.4860644284452713,-0.4860644284452713,,,0,0,0,0,0,0,0,1,0,1,0,0
0,3,1,,1,0,15.5,1,0,-16.704207968574636,-0.3361452095402864,-0.3361452095402864,,,0,0,0,0,0,0,0,1,1,0,0,1
