price (in millions),area (in thousands sqft),bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,rooms,area (per room)
13.3,7.42,4,2,3,yes,no,0,no,yes,2,yes,furnished,6,1236.6666666666665
12.25,8.96,4,4,4,yes,no,0,no,yes,3,no,furnished,8,1120.0
12.25,9.96,3,2,2,yes,no,1,no,no,2,yes,semi-furnished,6,1660.0000000000002
12.215,7.5,4,2,2,yes,no,1,no,yes,3,yes,furnished,7,1071.4285714285713
11.41,7.42,4,1,2,yes,yes,1,no,yes,2,no,furnished,6,1236.6666666666665
10.85,7.5,3,3,1,yes,no,1,no,yes,2,yes,semi-furnished,7,1071.4285714285713
10.15,8.58,4,3,4,yes,no,0,no,yes,2,yes,semi-furnished,7,1225.7142857142858
10.15,16.2,5,3,2,yes,no,0,no,no,0,no,unfurnished,8,2025.0
9.87,8.1,4,1,2,yes,yes,1,no,yes,2,yes,furnished,6,1349.9999999999998
9.8,5.75,3,2,4,yes,yes,0,no,yes,1,yes,unfurnished,5,1150.0
9.8,13.2,3,1,2,yes,no,1,no,yes,2,yes,furnished,5,2639.9999999999995
9.681,6.0,4,3,2,yes,yes,1,yes,no,2,no,semi-furnished,8,750.0
9.31,6.55,4,2,2,yes,no,0,no,yes,1,yes,semi-furnished,6,1091.6666666666665
9.24,3.5,4,2,2,yes,no,0,yes,no,2,no,furnished,6,583.3333333333334
9.24,7.8,3,2,2,yes,no,0,no,no,0,yes,semi-furnished,5,1560.0
9.1,6.0,4,1,2,yes,no,1,no,no,2,no,semi-furnished,6,1000.0
9.1,6.6,4,2,2,yes,yes,1,no,yes,1,yes,unfurnished,7,942.8571428571429
8.96,8.5,3,2,4,yes,no,0,no,yes,2,no,furnished,5,1700.0
8.89,4.6,3,2,2,yes,yes,0,no,yes,2,no,furnished,5,919.9999999999999
8.855,6.42,3,2,2,yes,no,0,no,yes,1,yes,semi-furnished,5,1284.0
