survived,pclass,sex,age,sibsp,parch,fare,adult_male,deck,embark_town,alone,difference from mean,fare_zscore,fare zscore,difference from mean (age),age zscore
0,3,male,22.0,1,0,7.25,True,,Southampton,False,-24.954207968574636,-0.5021631365156053,-0.5021631365156053,-7.69911764705882,-0.5300050983330725
1,1,female,38.0,1,0,71.2833,False,C,Cherbourg,False,39.07909203142536,0.7864036178345383,0.7864036178345383,8.30088235294118,0.5714304118216114
1,3,female,26.0,0,0,7.925,False,,Southampton,True,-24.279207968574635,-0.48857985158126105,-0.48857985158126105,-3.69911764705882,-0.2546462207944016
1,1,female,35.0,1,0,53.1,False,C,Southampton,False,20.895792031425366,0.4204940697654092,0.4204940697654092,5.30088235294118,0.36491125366760807
0,3,male,35.0,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,5.30088235294118,0.36491125366760807
0,3,male,,0,0,8.4583,True,,Queenstown,True,-23.745907968574635,-0.4778480503138746,-0.4778480503138746,,
0,1,male,54.0,0,0,51.8625,True,E,Southampton,True,19.65829203142536,0.3955913807191113,0.3955913807191113,24.30088235294118,1.6728659219762951
0,3,male,2.0,3,1,21.075,False,,Southampton,False,-11.129207968574637,-0.22395733767514675,-0.22395733767514675,-27.69911764705882,-1.9067994860264275
1,3,female,27.0,0,2,11.1333,False,,Southampton,False,-21.070907968574637,-0.42401799520369554,-0.42401799520369554,-2.69911764705882,-0.18580650140973384
1,2,female,14.0,1,0,30.0708,False,,Cherbourg,False,-2.1334079685746374,-0.04293139010125909,-0.04293139010125909,-15.69911764705882,-1.0807228534104145
1,3,female,4.0,1,1,16.7,False,G,Southampton,False,-15.504207968574637,-0.3119971474347855,-0.3119971474347855,-25.69911764705882,-1.7691200472570918
1,1,female,58.0,0,0,26.55,False,C,Southampton,True,-5.654207968574635,-0.11378180431879875,-0.11378180431879875,28.30088235294118,1.9482247995149662
0,3,male,20.0,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,-9.69911764705882,-0.667684537102408
0,3,male,39.0,1,5,31.275,True,,Southampton,False,-0.9292079685746373,-0.01869880977838891,-0.01869880977838891,9.30088235294118,0.6402701312062791
0,3,female,14.0,0,0,7.8542,False,,Southampton,True,-24.350007968574637,-0.4900045872454856,-0.4900045872454856,-15.69911764705882,-1.0807228534104145
1,2,female,55.0,0,0,16.0,False,,Southampton,True,-16.204207968574636,-0.32608351699632776,-0.32608351699632776,25.30088235294118,1.7417056413609628
0,3,male,2.0,4,1,29.125,False,,Queenstown,False,-3.079207968574636,-0.061964087717411374,-0.061964087717411374,-27.69911764705882,-1.9067994860264275
1,2,male,,0,0,13.0,True,,Southampton,True,-19.204207968574636,-0.38645367226008004,-0.38645367226008004,,
0,3,female,31.0,1,0,18.0,False,,Southampton,False,-14.204207968574636,-0.28583674682049287,-0.28583674682049287,1.30088235294118,0.08955237612893713
1,3,female,,0,0,7.225,False,,Cherbourg,True,-24.979207968574634,-0.5026662211428032,-0.5026662211428032,,
0,2,male,35.0,0,0,26.0,True,,Southampton,True,-6.204207968574636,-0.12484966611715337,-0.12484966611715337,5.30088235294118,0.36491125366760807
1,2,male,34.0,0,0,13.0,True,D,Southampton,True,-19.204207968574636,-0.38645367226008004,-0.38645367226008004,4.30088235294118,0.29607153428294036
1,3,female,15.0,0,0,8.0292,False,,Queenstown,True,-24.175007968574636,-0.48648299485510005,-0.48648299485510005,-14.69911764705882,-1.0118831340257468
1,1,male,28.0,0,0,35.5,True,A,Southampton,True,3.295792031425364,0.06632249221806229,0.06632249221806229,-1.69911764705882,-0.1169667820250661
0,3,female,8.0,3,1,21.075,False,,Southampton,False,-11.129207968574637,-0.22395733767514675,-0.22395733767514675,-21.69911764705882,-1.493761169718421
1,3,female,38.0,1,5,31.3875,False,,Southampton,False,-0.8167079685746366,-0.016434928955998185,-0.016434928955998185,8.30088235294118,0.5714304118216114
0,3,male,,0,0,7.225,True,,Cherbourg,True,-24.979207968574634,-0.5026662211428032,-0.5026662211428032,,
0,1,male,19.0,3,2,263.0,True,C,Southampton,False,230.79579203142538,4.644392599719279,4.644392599719279,-10.69911764705882,-0.7365242564870758
1,3,female,,0,0,7.8792,False,,Queenstown,True,-24.325007968574635,-0.4895015026182876,-0.4895015026182876,,
0,3,male,,0,0,7.8958,True,,Southampton,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,,
0,1,male,40.0,0,0,27.7208,True,,Cherbourg,True,-4.483407968574635,-0.09022134505786503,-0.09022134505786503,10.30088235294118,0.7091098505909468
1,1,female,,1,0,146.5208,False,B,Cherbourg,False,114.31659203142537,2.300436803386727,2.300436803386727,,
1,3,female,,0,0,7.75,False,,Queenstown,True,-24.454207968574636,-0.49210144397164657,-0.49210144397164657,,
0,2,male,66.0,0,0,10.5,True,,Southampton,True,-21.704207968574636,-0.43676213497987365,-0.43676213497987365,36.30088235294118,2.498942554592308
0,1,male,28.0,1,0,82.1708,True,,Cherbourg,False,49.966592031425364,1.0054969729792393,1.0054969729792393,-1.69911764705882,-0.1169667820250661
0,1,male,42.0,1,0,52.0,True,,Southampton,False,19.795792031425364,0.39835834616870003,0.39835834616870003,12.30088235294118,0.8467892893602823
1,3,male,,0,0,7.2292,True,,Cherbourg,True,-24.975007968574637,-0.502581702925434,-0.502581702925434,,
0,3,male,21.0,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,-8.69911764705882,-0.5988448177177403
0,3,female,18.0,2,0,18.0,False,,Southampton,False,-14.204207968574636,-0.28583674682049287,-0.28583674682049287,-11.69911764705882,-0.8053639758717436
1,3,female,14.0,1,0,11.2417,False,,Cherbourg,False,-20.962507968574634,-0.4218366202601652,-0.4218366202601652,-15.69911764705882,-1.0807228534104145
0,3,female,40.0,1,0,9.475,False,,Southampton,False,-22.729207968574634,-0.457388604694989,-0.457388604694989,10.30088235294118,0.7091098505909468
0,2,female,27.0,1,0,21.0,False,,Southampton,False,-11.204207968574636,-0.22546659155674054,-0.22546659155674054,-2.69911764705882,-0.18580650140973384
0,3,male,,0,0,7.8958,True,,Cherbourg,True,-24.308407968574635,-0.4891674544258282,-0.4891674544258282,,
1,2,female,3.0,1,2,41.5792,False,,Cherbourg,False,9.374992031425364,0.18865657484452997,0.18865657484452997,-26.69911764705882,-1.8379597666417598
1,3,female,19.0,0,0,7.8792,False,,Queenstown,True,-24.325007968574635,-0.4895015026182876,-0.4895015026182876,-10.69911764705882,-0.7365242564870758
0,3,male,,0,0,8.05,True,,Southampton,True,-24.154207968574635,-0.48606442844527137,-0.48606442844527137,,
0,3,male,,1,0,15.5,True,,Queenstown,False,-16.704207968574636,-0.3361452095402864,-0.3361452095402864,,
1,3,female,,0,0,7.75,False,,Queenstown,True,-24.454207968574636,-0.49210144397164657,-0.49210144397164657,,
0,3,male,,2,0,21.6792,True,,Cherbourg,False,-10.525007968574634,-0.211798788405027,-0.211798788405027,,
0,3,female,18.0,1,0,17.8,False,,Southampton,False,-14.404207968574635,-0.28986142383807634,-0.28986142383807634,-11.69911764705882,-0.8053639758717436
0,3,male,7.0,4,1,39.6875,False,,Southampton,False,7.483292031425364,0.15058916727371655,0.15058916727371655,-22.69911764705882,-1.5626008891030887
0,3,male,21.0,0,0,7.8,True,,Southampton,True,-24.404207968574635,-0.49109527471725073,-0.49109527471725073,-8.69911764705882,-0.5988448177177403
